batch,op_id,status,ttc_s,difficulty
0,op-c52566268406,TIMEOUT,120.449,00000
1,op-6250b33c5d81,TIMEOUT,240.528,00000
2,op-f7c4c9065fbe,TIMEOUT,360.625,00000
3,op-e0a4416c21cb,CONFIRMED,448.823,00000
4,op-c7d83e798c98,CONFIRMED,448.813,00000
5,op-c109db4c0c62,CONFIRMED,448.818,00000
6,op-a04dc9375f5e,CONFIRMED,448.814,00000
7,op-5e6e8afa927b,CONFIRMED,448.823,00000
8,op-7531f773abec,CONFIRMED,448.816,00000
9,op-15aca0655b29,CONFIRMED,448.816,00000
10,op-4a6f8d12b91b,CONFIRMED,448.805,00000
11,op-a2cc8018b8dd,CONFIRMED,448.807,00000
12,op-cb5dc824dd2a,CONFIRMED,448.808,00000
13,op-5472e63dc192,CONFIRMED,448.825,00000
14,op-8ddc38843b3d,CONFIRMED,448.831,00000
15,op-a8fd9b2ae069,CONFIRMED,448.819,00000
16,op-7ba23cfc2145,CONFIRMED,448.812,00000
17,op-a3ef4a03285c,CONFIRMED,448.816,00000
18,op-e1f0539568e0,CONFIRMED,448.805,00000
19,op-a95009bb8f20,CONFIRMED,448.801,00000
20,op-b04b453d79f7,CONFIRMED,83.592,00000
21,op-2db4cca156f7,CONFIRMED,83.589,00000
22,op-318dbb0c7ef0,CONFIRMED,83.517,00000
23,op-27948c8edda3,CONFIRMED,83.502,00000
24,op-9fd249ed436b,CONFIRMED,83.5,00000
25,op-68dcdd06d467,CONFIRMED,83.493,00000
26,op-11d8a5d01012,CONFIRMED,83.51,00000
27,op-716dfbdd5701,CONFIRMED,83.52,00000
28,op-7f50725e1bec,CONFIRMED,83.514,00000
29,op-7cf3951403bf,CONFIRMED,83.501,00000
30,op-1781b7e44f3e,CONFIRMED,83.471,00000
31,op-491d29a13a43,CONFIRMED,83.449,00000
32,op-eb04e7f8c205,CONFIRMED,83.458,00000
33,op-acf3342b73fb,CONFIRMED,83.459,00000
34,op-0b88884b6af7,CONFIRMED,83.424,00000
35,op-f592db101f8b,CONFIRMED,83.374,00000
36,op-33ce5801ce38,CONFIRMED,83.336,00000
37,op-1913447a8d66,CONFIRMED,83.324,00000
38,op-f446053511cf,CONFIRMED,83.32,00000
39,op-f1dc7e0c96b1,CONFIRMED,83.274,00000
