batch,op_id,status,ttc_s,difficulty
0,op-aee26154d81c,CONFIRMED,1.007,00
1,op-60a8270b0cb1,CONFIRMED,1.017,00
2,op-142e5feebe9e,CONFIRMED,1.005,00
3,op-dab9044fbfb8,CONFIRMED,1.013,00
4,op-3c9a4c5f0938,CONFIRMED,1.017,00
5,op-2db427cb0e0f,CONFIRMED,1.002,00
6,op-8542a2560851,CONFIRMED,1.004,00
7,op-5ebcc45e8900,CONFIRMED,1.003,00
8,op-31c70efee40f,CONFIRMED,0.986,00
9,op-d5dc6c531fdc,CONFIRMED,1.002,00
10,op-d7b6560a232a,CONFIRMED,0.986,00
11,op-6921f5c7bf19,CONFIRMED,0.985,00
12,op-22df87ab402b,CONFIRMED,0.979,00
13,op-2f176f556bb8,CONFIRMED,0.967,00
14,op-0e22fb39c853,CONFIRMED,0.981,00
15,op-ab8177a372c7,CONFIRMED,4.801,00
16,op-40c982ff5997,CONFIRMED,4.801,00
17,op-12cddbe6814d,CONFIRMED,4.789,00
18,op-d922ede65f4a,CONFIRMED,4.785,00
19,op-fc97fdf2a206,CONFIRMED,4.785,00
20,op-48a743f55f84,CONFIRMED,4.782,00
21,op-500049303679,CONFIRMED,4.791,00
22,op-4589fe4ee596,CONFIRMED,4.776,00
23,op-079785607b12,CONFIRMED,4.982,00
24,op-83d0b91b04b2,CONFIRMED,4.982,00
25,op-2e9a177ca67f,CONFIRMED,4.978,00
26,op-65bf32431462,CONFIRMED,4.972,00
27,op-6b0a7609e319,CONFIRMED,4.988,00
28,op-15ff1475ed18,CONFIRMED,4.971,00
29,op-a78a13c8f26f,CONFIRMED,4.987,00
