batch,op_id,status,ttc_s,difficulty
0,op-5fb3f3c88625,CONFIRMED,3.699,0000
1,op-9b834c81f0ec,CONFIRMED,3.699,0000
2,op-98b03e193083,CONFIRMED,3.715,0000
3,op-9899a8765f3d,CONFIRMED,3.714,0000
4,op-9ffe411cafa1,CONFIRMED,3.729,0000
5,op-d17a090392f4,CONFIRMED,3.737,0000
6,op-8800aa1ea77b,CONFIRMED,3.728,0000
7,op-bc86ade00649,CONFIRMED,3.735,0000
8,op-387a8001d105,CONFIRMED,3.74,0000
9,op-527d442b854b,CONFIRMED,3.741,0000
10,op-b4fde3a198ca,CONFIRMED,3.756,0000
11,op-4ba5a417d4ae,CONFIRMED,3.836,0000
12,op-699de346213e,CONFIRMED,3.842,0000
13,op-ca8e1e6d99e0,CONFIRMED,3.859,0000
14,op-eca0a3994877,CONFIRMED,4.083,0000
15,op-838bfe6cc71e,CONFIRMED,4.994,0000
16,op-cac44dfa44cb,CONFIRMED,4.981,0000
17,op-bd8153f89547,CONFIRMED,4.984,0000
18,op-7a805451a456,CONFIRMED,4.985,0000
19,op-3d3a76f69bbc,CONFIRMED,4.976,0000
20,op-ef0dce5006f7,CONFIRMED,4.972,0000
21,op-8ee5631f4e8e,CONFIRMED,4.957,0000
22,op-fa556f335a6d,CONFIRMED,4.967,0000
23,op-1ef9756c53e3,CONFIRMED,4.961,0000
24,op-9e4072ceaa05,CONFIRMED,4.954,0000
25,op-15cdaaaa8004,CONFIRMED,4.973,0000
26,op-911ae7d76663,CONFIRMED,4.963,0000
27,op-4018b18c87a4,CONFIRMED,4.953,0000
28,op-0dd406774c25,CONFIRMED,4.957,0000
29,op-b952d2f0a0e6,CONFIRMED,4.959,0000
