batch,op_id,status,ttc_s,difficulty
0,op-2f2e09b92d49,CONFIRMED,30.356,0000
1,op-d45af04b2e42,CONFIRMED,30.358,0000
2,op-3cd5627cb774,CONFIRMED,30.369,0000
3,op-7c37e2187230,CONFIRMED,30.37,0000
4,op-3da6adf0e29e,CONFIRMED,30.391,0000
5,op-e64df3bb9047,CONFIRMED,30.395,0000
6,op-e481788f1111,CONFIRMED,30.384,0000
7,op-210132bbd4d9,CONFIRMED,30.381,0000
8,op-081e0ab09942,CONFIRMED,30.392,0000
9,op-fcf411ca6cd0,CONFIRMED,30.61,0000
10,op-35aaadbdfc08,CONFIRMED,30.627,0000
11,op-cffb4be8aace,CONFIRMED,30.633,0000
12,op-a2bee6ab98ec,CONFIRMED,30.632,0000
13,op-17f892777f23,CONFIRMED,30.629,0000
14,op-80d2a49eb75c,CONFIRMED,30.642,0000
15,op-77098bd7e9c6,CONFIRMED,5.063,0000
16,op-f7c54f0c4f73,CONFIRMED,5.047,0000
17,op-12f57ee7f30e,CONFIRMED,5.038,0000
18,op-9bdfa7f11d16,CONFIRMED,5.029,0000
19,op-0e406769489d,CONFIRMED,5.02,0000
20,op-d8175938a4e1,CONFIRMED,5.017,0000
21,op-2e9d2c2065b3,CONFIRMED,5.014,0000
22,op-5f91d24f46b1,CONFIRMED,5.007,0000
23,op-99e03e36af47,CONFIRMED,4.982,0000
24,op-4e159ab04abc,CONFIRMED,4.961,0000
25,op-5b131536c984,CONFIRMED,4.959,0000
26,op-e1c5bca25e75,CONFIRMED,4.945,0000
27,op-85edc42b5800,CONFIRMED,4.958,0000
28,op-e87a9f66fff0,CONFIRMED,4.947,0000
29,op-932d93b2d3c4,CONFIRMED,4.923,0000
