batch,op_id,status,ttc_s,difficulty
0,op-af1917a8fbbe,CONFIRMED,30.078,000000
1,op-10ca3d03bca8,CONFIRMED,30.104,000000
2,op-af6d3f8648c4,CONFIRMED,30.126,000000
3,op-0f592dab2875,CONFIRMED,30.124,000000
4,op-019555e67f48,CONFIRMED,30.125,000000
5,op-16fc7c2f2653,CONFIRMED,30.123,000000
6,op-42a65c46dbd1,CONFIRMED,30.139,000000
7,op-1270817d0d0a,CONFIRMED,30.138,000000
8,op-70bfe58aaaa8,CONFIRMED,30.136,000000
9,op-aa857f22aa86,CONFIRMED,30.149,000000
10,op-bdac4388b597,CONFIRMED,89.408,000000
11,op-573c3bc953f8,CONFIRMED,89.385,000000
12,op-c5fbff0f83d5,CONFIRMED,89.377,000000
13,op-f1177a723f11,CONFIRMED,89.382,000000
14,op-6852c57a75ad,CONFIRMED,89.364,000000
15,op-7f39363c7629,CONFIRMED,89.366,000000
16,op-1c60f5b4f2d8,CONFIRMED,89.374,000000
17,op-cebd7b1b96df,CONFIRMED,89.358,000000
18,op-4a4ad75fff9c,CONFIRMED,89.36,000000
19,op-7c7d0206be67,CONFIRMED,89.374,000000
