batch,op_id,status,ttc_s,difficulty
0,op-1f2b7a586814,CONFIRMED,3.229,00
1,op-c66e3d5af62a,CONFIRMED,3.218,00
2,op-b26a501a564f,CONFIRMED,3.217,00
3,op-aeb9d1e743f0,CONFIRMED,3.199,00
4,op-6b36870ca5f7,CONFIRMED,3.211,00
5,op-77988acf5b05,CONFIRMED,3.199,00
6,op-db503e148a0b,CONFIRMED,3.199,00
7,op-3592b6c06d9e,CONFIRMED,3.182,00
8,op-4e86d6d69ced,CONFIRMED,3.194,00
9,op-6df78c6df5c0,CONFIRMED,3.203,00
10,op-98e80f769edf,CONFIRMED,3.213,00
11,op-3488492c9c6a,CONFIRMED,3.223,00
12,op-133dcd0e6c86,CONFIRMED,3.233,00
13,op-1ea291409506,CONFIRMED,3.225,00
14,op-d066e574fef5,CONFIRMED,3.241,00
15,op-95689ff3ada1,CONFIRMED,3.223,00
16,op-1a4f59e59b45,CONFIRMED,3.232,00
17,op-c643e486592c,CONFIRMED,3.224,00
18,op-dc743d5b6164,CONFIRMED,3.242,00
19,op-9b3a64803d7f,CONFIRMED,3.24,00
20,op-53ca11d5f123,CONFIRMED,3.239,00
21,op-47d419ab375f,CONFIRMED,3.22,00
22,op-624cbb05f583,CONFIRMED,3.209,00
23,op-49e32ac9bab2,CONFIRMED,3.21,00
24,op-e7b78f3deeb8,CONFIRMED,3.204,00
25,op-6f4da0eedd65,CONFIRMED,3.197,00
26,op-70f0dbdf453d,CONFIRMED,3.186,00
27,op-f5c31c01c15d,CONFIRMED,3.184,00
28,op-ddc3ebc79ae8,CONFIRMED,3.192,00
29,op-7ed498631436,CONFIRMED,3.202,00
30,op-2aa3e166e69a,CONFIRMED,3.205,00
31,op-359531a09f27,CONFIRMED,3.2,00
32,op-9d1418a69124,CONFIRMED,3.205,00
33,op-9557ccf44f06,CONFIRMED,3.215,00
34,op-884cd0504d4a,CONFIRMED,3.213,00
35,op-eb7cd4e5d955,CONFIRMED,3.205,00
36,op-b878a1ccbeb4,CONFIRMED,3.223,00
37,op-fd9dd85bfecf,CONFIRMED,3.225,00
38,op-d22399512e7b,CONFIRMED,3.224,00
39,op-43fd4d6ccc1c,CONFIRMED,3.221,00
40,op-2a10f2488e7b,CONFIRMED,3.219,00
41,op-2d8577509552,CONFIRMED,3.202,00
42,op-4346c4c61625,CONFIRMED,3.221,00
43,op-7a3338293313,CONFIRMED,3.227,00
44,op-bfef320bd040,CONFIRMED,3.227,00
45,op-7d012749922c,CONFIRMED,3.247,00
46,op-11c0a0930120,CONFIRMED,3.233,00
47,op-b559a3c226d3,CONFIRMED,3.223,00
48,op-f0e57a1640aa,CONFIRMED,3.218,00
49,op-710fcdcd875f,CONFIRMED,3.216,00
50,op-f2d85c64461b,CONFIRMED,3.214,00
51,op-32d4ec053f6b,CONFIRMED,3.216,00
52,op-d0200c2e8c83,CONFIRMED,3.214,00
53,op-b9ca820d43d5,CONFIRMED,3.196,00
54,op-838c240b9096,CONFIRMED,3.188,00
55,op-1ddb53c7a970,CONFIRMED,3.177,00
