batch,op_id,status,ttc_s,difficulty
0,op-e56aa7dd88ce,CONFIRMED,13.978,00000
1,op-2b13409d55ad,CONFIRMED,13.957,00000
2,op-be23562d8749,CONFIRMED,13.972,00000
3,op-2bb8b5d5708e,CONFIRMED,13.975,00000
4,op-ee1f83ffe66a,CONFIRMED,14.02,00000
5,op-29afd5614a16,CONFIRMED,14.011,00000
6,op-dacedbfacb4a,CONFIRMED,14.009,00000
7,op-72a48ffa26c8,CONFIRMED,14.009,00000
8,op-8aa4b9b1c825,CONFIRMED,14.06,00000
9,op-030c1c5eea42,CONFIRMED,14.055,00000
10,op-a1ecc64c1c38,CONFIRMED,14.052,00000
11,op-4556516d1d48,CONFIRMED,14.048,00000
12,op-f03f9cb444a8,CONFIRMED,14.265,00000
13,op-0965e57ff28d,CONFIRMED,14.255,00000
14,op-6ec4c26f69f4,CONFIRMED,14.257,00000
15,op-78e5e1db8f54,CONFIRMED,14.246,00000
16,op-8fea36181450,CONFIRMED,14.219,00000
17,op-ee4a9352cf2e,CONFIRMED,14.232,00000
18,op-001c83eb37f8,CONFIRMED,14.243,00000
19,op-da7ee77fc0ad,CONFIRMED,14.229,00000
20,op-0854f73b669e,CONFIRMED,34.588,00000
21,op-4b64074cbf21,CONFIRMED,34.591,00000
22,op-c0e0b64a64c1,CONFIRMED,34.598,00000
23,op-43d6301dd475,CONFIRMED,34.584,00000
24,op-e97324679026,CONFIRMED,34.602,00000
25,op-eefc3f281101,CONFIRMED,34.602,00000
26,op-5d2cf436f99c,CONFIRMED,34.551,00000
27,op-72e95318ad3f,CONFIRMED,34.526,00000
28,op-a43d40f0326b,CONFIRMED,34.521,00000
29,op-a03e87ef3e8e,CONFIRMED,34.513,00000
30,op-e5b36f8b3eb0,CONFIRMED,34.498,00000
31,op-9c2f0dea968f,CONFIRMED,34.485,00000
32,op-64e2b098f800,CONFIRMED,34.58,00000
33,op-001288a2584c,CONFIRMED,34.603,00000
34,op-083d6e62a246,CONFIRMED,34.632,00000
35,op-30baf6052245,CONFIRMED,34.629,00000
36,op-48b690857e2a,CONFIRMED,34.624,00000
37,op-a17fbfadd598,CONFIRMED,34.61,00000
38,op-2eb57890862e,CONFIRMED,34.605,00000
39,op-080cf6e54f60,CONFIRMED,34.773,00000
