batch,op_id,status,ttc_s,difficulty
0,op-05e28ef8a43c,CONFIRMED,7.042,0000
1,op-d4f1b97b933d,CONFIRMED,7.029,0000
2,op-655723149296,CONFIRMED,7.02,0000
3,op-77bc74859d08,CONFIRMED,7.004,0000
4,op-ec66ab17f9c3,CONFIRMED,6.996,0000
5,op-e6648d9071dc,CONFIRMED,6.992,0000
6,op-a230c58ba024,CONFIRMED,6.978,0000
7,op-fc0bb177f5c3,CONFIRMED,6.968,0000
8,op-f63795a39a32,CONFIRMED,6.966,0000
9,op-750fcf5f3d82,CONFIRMED,6.935,0000
10,op-4a7f9c8150b2,CONFIRMED,6.954,0000
11,op-bcbf4f2a0813,CONFIRMED,6.944,0000
12,op-d410f7e86565,CONFIRMED,6.943,0000
13,op-b421d323b4c8,CONFIRMED,6.93,0000
14,op-3df9cfeb71a1,CONFIRMED,6.931,0000
15,op-ba512b67d90f,CONFIRMED,9.659,0000
16,op-3ad1de7cb209,CONFIRMED,9.664,0000
17,op-6f9620510289,CONFIRMED,9.67,0000
18,op-73e67e39cbee,CONFIRMED,9.672,0000
19,op-a300e933e468,CONFIRMED,9.662,0000
20,op-95e7353a9308,CONFIRMED,9.681,0000
21,op-9455c88a9a2e,CONFIRMED,9.667,0000
22,op-d05ce06405c7,CONFIRMED,9.678,0000
23,op-55821546df76,CONFIRMED,9.673,0000
24,op-4f9200cb992e,CONFIRMED,9.68,0000
25,op-c60ff56b8790,CONFIRMED,9.669,0000
26,op-7a50332298eb,CONFIRMED,9.681,0000
27,op-b56d4172e196,CONFIRMED,9.63,0000
28,op-ec8bee5ee904,CONFIRMED,9.628,0000
29,op-9a309bd07844,CONFIRMED,9.626,0000
