batch,op_id,status,ttc_s,difficulty
0,op-7b08308d85f1,CONFIRMED,1.648,0000
1,op-2fa62503305d,CONFIRMED,1.678,0000
2,op-98c427bc694d,CONFIRMED,1.687,0000
3,op-9214596e71f8,CONFIRMED,1.709,0000
4,op-b552031b6d06,CONFIRMED,1.707,0000
5,op-3a7c7f6ace75,CONFIRMED,1.703,0000
6,op-4d281d9f0765,CONFIRMED,1.72,0000
7,op-0b83db352f08,CONFIRMED,1.723,0000
8,op-271ab0e9688e,CONFIRMED,1.748,0000
9,op-390391c04f7f,CONFIRMED,1.767,0000
10,op-09e097ad3c66,CONFIRMED,1.776,0000
11,op-11ef967f9b14,CONFIRMED,1.779,0000
12,op-f31171d9aa8e,CONFIRMED,1.784,0000
13,op-5c482d5a5f01,CONFIRMED,1.774,0000
14,op-c411d51fbc21,CONFIRMED,1.778,0000
15,op-df47ff58b8b7,CONFIRMED,2.082,0000
16,op-d7867ec33c5d,CONFIRMED,2.105,0000
17,op-c4ad3052d3a8,CONFIRMED,2.111,0000
18,op-5faf98fd7e53,CONFIRMED,2.142,0000
19,op-5472f2cd51fa,CONFIRMED,2.148,0000
20,op-28a3e0c52fdb,CONFIRMED,2.15,0000
21,op-849fc6b9b8e8,CONFIRMED,2.154,0000
22,op-5b7c81757a34,CONFIRMED,2.176,0000
23,op-8655b2e54f59,CONFIRMED,2.192,0000
24,op-c58f2ae5d4a7,CONFIRMED,2.2,0000
25,op-c1d4cac0fcbb,CONFIRMED,4.53,0000
26,op-3929e920a2d4,CONFIRMED,4.517,0000
27,op-c24481fc5642,CONFIRMED,4.519,0000
28,op-3a3b13faab0c,CONFIRMED,4.599,0000
29,op-477406c608b5,CONFIRMED,4.598,0000
30,op-cb0444d31170,CONFIRMED,4.598,0000
31,op-395842d33697,CONFIRMED,4.617,0000
32,op-dbc69bd34830,CONFIRMED,4.627,0000
33,op-944c986efc93,CONFIRMED,4.629,0000
34,op-3c9f0f6667ef,CONFIRMED,4.624,0000
35,op-766edded401b,CONFIRMED,4.646,0000
36,op-4fc2d264b60e,CONFIRMED,4.642,0000
37,op-2376ecedb0e1,CONFIRMED,4.659,0000
38,op-ad28c46bc945,CONFIRMED,4.656,0000
39,op-6e18aff1919f,CONFIRMED,4.667,0000
40,op-107c5bdc8755,CONFIRMED,4.648,0000
41,op-b17bbcad5cc0,CONFIRMED,4.66,0000
42,op-c9d04ea25f0f,CONFIRMED,4.663,0000
43,op-ae2ddfab7453,CONFIRMED,4.9,0000
44,op-b7867ee6da52,CONFIRMED,4.892,0000
45,op-dde7e9df6661,CONFIRMED,4.887,0000
46,op-d346685d5985,CONFIRMED,4.901,0000
47,op-c2ec362c57b0,CONFIRMED,4.889,0000
48,op-64ee064f346b,CONFIRMED,4.903,0000
49,op-cc4d10a71b0a,CONFIRMED,4.893,0000
